Row,OCN,CollStabOrder,ProjStabOrder,nbPts,nbLines,nbE,nbDouble,nbSingle,nbPtsNotOn,nbHesse,nbAxes,nbOrbE,nbOrbDouble,nbOrbPtsNotOn,nbOrbLines,nbOrbSingleSix,nbOrbTriPlanes,nbOrbHesse,nbOrbTrihedralPairs,Eqn20,Equation,Lines
0,0,4,4,691,27,2,129,384,176,0,0,2,40,49,10,21,19,0,41,"0,0,0,0,0,0,11,0,2,0,0,7,0,17,0,0,17,16,21,1","$11X_0^2*X_3+2X_1^2*X_2+7X_1*X_2^2+17X_0*X_3^2+17X_0*X_1*X_2+16X_0*X_1*X_3+21X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,290930,4965,239992,121752,6000,3525,293089,12672,0,7649,2424,267643,10473,7745,245209,293057,88825,267513,204604,212256,133128,55841,11044,110750"
1,1,12,12,691,27,4,123,390,174,0,1,2,16,16,5,10,10,0,19,"0,0,0,0,0,0,8,0,10,0,0,18,0,2,0,0,18,10,2,1","$8X_0^2*X_3+10X_1^2*X_2+18X_1*X_2^2+2X_0*X_3^2+18X_0*X_1*X_2+10X_0*X_1*X_3+2X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,290982,88471,169033,6600,8548,576,293089,0,3824,9119,1698,242212,12168,59424,229610,292854,242075,120504,179157,279048,30397,181283,12150"
2,2,24,24,691,27,6,117,396,172,0,4,1,9,11,3,7,7,0,12,"0,0,0,0,0,0,10,0,9,0,0,3,0,12,0,0,6,21,7,1","$10X_0^2*X_3+9X_1^2*X_2+3X_1*X_2^2+12X_0*X_3^2+6X_0*X_1*X_2+21X_0*X_1*X_3+7X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,291034,225064,228504,6671,852,1728,293089,0,12189,3072,6171,38695,11633,153457,91106,292893,38249,28223,90121,186168,157585,153231,8832"
3,3,2,2,691,27,1,132,381,177,0,0,1,72,97,15,36,29,0,68,"0,0,0,0,0,0,2,0,4,0,0,17,0,18,0,0,5,12,10,1","$2X_0^2*X_3+4X_1^2*X_2+17X_1*X_2^2+18X_0*X_3^2+5X_0*X_1*X_2+12X_0*X_1*X_3+10X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,291060,219535,245785,600,9723,2304,293089,0,3917,6408,8396,64126,11076,212928,167858,292999,63756,134975,153725,239136,195748,83302,3302"
4,4,6,6,691,27,3,126,387,175,0,1,1,27,34,6,14,15,0,29,"0,0,0,0,0,0,6,0,5,0,0,10,0,15,0,0,5,7,20,1","$6X_0^2*X_3+5X_1^2*X_2+10X_1*X_2^2+15X_0*X_3^2+5X_0*X_1*X_2+7X_0*X_1*X_3+20X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,291063,98974,275785,7271,5875,2880,293089,0,8364,9767,10644,229485,6094,260209,244610,292982,229425,229008,204602,146232,30394,97102,9938"
5,5,2,2,691,27,1,132,381,177,0,0,1,72,95,15,36,29,0,68,"0,0,0,0,0,0,7,0,13,0,0,14,0,20,0,0,21,5,11,1","$7X_0^2*X_3+13X_1^2*X_2+14X_1*X_2^2+20X_0*X_3^2+21X_0*X_1*X_2+5X_0*X_1*X_3+11X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,291167,171966,77281,8471,3202,5184,293089,0,714,10392,6848,127738,5534,168457,259610,292786,127581,58223,51961,26928,106707,250358,6620"
6,6,6,6,691,27,3,126,387,175,0,1,1,27,38,6,14,15,0,29,"0,0,0,0,0,0,1,0,9,0,0,13,0,13,0,0,1,12,19,1","$X_0^2*X_3+9X_1^2*X_2+13X_1*X_2^2+13X_0*X_3^2+X_0*X_1*X_2+12X_0*X_1*X_3+19X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,291193,56386,106752,2400,12073,5760,293089,0,5161,1032,9096,89580,3888,227928,43825,292883,89378,164975,280901,66384,157597,124777,5514"
7,7,12,12,691,27,4,123,390,174,0,1,2,16,20,5,10,10,0,19,"0,0,0,0,0,0,20,0,5,0,0,20,0,16,0,0,0,21,9,1","$20X_0^2*X_3+5X_1^2*X_2+20X_1*X_2^2+16X_0*X_3^2+21X_0*X_1*X_3+9X_0*X_2*X_3+X_1*X_2*X_3$","17,292560,1083,4965,11597,204054,293089,73223,197858,29424,154033,0,292972,242750,221196,100628,529,6912,4377,1336,203573,3000,7704,172872,850,222331,291245"
8,8,24,24,691,27,6,117,396,172,0,4,1,9,10,3,7,7,0,12,"0,0,0,0,0,0,1,0,19,0,0,3,0,12,0,0,12,14,7,1","$X_0^2*X_3+19X_1^2*X_2+3X_1*X_2^2+12X_0*X_3^2+12X_0*X_1*X_2+14X_0*X_1*X_3+7X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,4965,289917,141558,60000,6000,12396,576,293089,0,9308,6887,4448,267637,10516,165024,89931,292653,267513,27552,204592,79656,55833,195058,1649"
9,9,6,6,691,27,3,126,387,175,0,1,1,27,34,6,14,15,0,29,"0,0,0,0,0,0,5,0,6,0,0,7,0,17,0,0,15,20,21,1","$5X_0^2*X_3+6X_1^2*X_2+7X_1*X_2^2+17X_0*X_3^2+15X_0*X_1*X_2+20X_0*X_1*X_3+21X_0*X_2*X_3+X_1*X_2*X_3$","529,292560,1083,289277,4965,127173,30000,4200,2027,293089,10944,0,4746,3696,254924,2652,6092,243481,292961,87327,254633,102852,210456,199200,208469,12699,153608"
